lam,int
593.74,3093.1
593.80,3271.0
593.87,3443.9
593.94,3732.0
594.00,3944.1
594.07,4022.4
594.14,4238.0
594.20,4350.4
594.27,4308.3
594.34,4242.9
594.40,4302.0
594.47,4351.0
594.54,4170.5
594.60,4025.4
594.67,3735.8
594.74,3590.0
594.80,3398.2
594.87,3029.7
594.94,2850.4
595.00,2750.8
595.07,2550.3
595.14,2233.8
595.20,2106.9
595.27,2089.1
595.34,2079.6
595.40,2016.6
595.47,2060.9
595.54,2179.7
595.60,2196.5
595.67,2213.6
595.74,2188.6
595.80,2230.5
595.87,2246.3
595.94,2197.2
596.00,2280.1
596.07,2398.7
596.14,2501.9
596.20,2393.7
596.27,2408.6
596.34,2479.4
596.40,2373.6
596.47,2330.1
596.54,2364.2
596.60,2507.4
596.67,2513.8
596.74,2451.6
596.80,2401.9
596.87,2429.5
596.94,2470.4
597.00,2438.8
597.07,2421.0
597.14,2532.7
597.20,2593.2
597.27,2546.2
597.34,2559.6
597.40,2580.6
597.47,2578.1
597.54,2542.2
597.60,2489.3
597.67,2433.2
597.74,2400.8
597.80,2329.4
597.87,2448.7
597.93,2660.5
598.00,2562.8
598.07,2516.3
598.13,2521.1
598.20,2500.1
598.27,2565.2
598.33,2496.7
598.40,2596.8
598.47,2599.2
598.53,2611.0
598.60,2373.0
598.67,2129.8
598.73,2277.1
598.80,2216.6
598.86,2297.8
598.93,2248.4
599.00,2335.3
599.06,2354.6
599.13,2296.7
599.20,2331.5
599.26,2275.1
599.33,2372.9
599.40,2396.6
599.46,2409.1
599.53,2394.8
599.59,2396.6
599.66,2315.8
599.73,2239.0
599.79,2241.3
599.86,2133.2
599.93,2082.8
599.99,2176.9
600.06,2151.6
600.13,2161.5
600.19,2152.7
600.26,2160.8
600.32,2210.6
600.39,2159.2
600.46,2148.6
600.52,2147.6
600.59,2338.9
600.66,2299.0
600.72,2215.6
600.79,2246.4
600.85,2165.0
600.92,2129.3
600.99,1993.8
601.05,1970.3
601.12,1970.0
601.19,1959.1
601.25,1864.6
601.32,1758.4
601.38,1795.1
601.45,1810.1
601.52,1766.0
601.58,1782.9
601.65,1885.0
601.71,1893.6
601.78,1879.1
601.85,1931.5
601.91,2038.9
601.98,2086.8
602.05,2114.3
602.11,2209.3
602.18,2308.6
602.24,2340.8
602.31,2357.8
602.38,2357.9
602.44,2408.2
602.51,2525.5
602.57,2457.0
602.64,2455.7
602.71,2518.2
602.77,2519.6
602.84,2467.2
602.90,2398.9
602.97,2430.3
603.04,2354.1
603.10,2289.5
603.17,2292.1
603.23,2258.0
603.30,2209.8
603.37,2109.3
603.43,2036.6
603.50,2063.4
603.56,2018.4
603.63,1972.0
603.70,1967.2
603.76,2014.3
603.83,2043.7
603.89,1939.7
603.96,1917.8
604.03,2001.5
604.09,2035.7
604.16,1941.1
604.22,1950.1
604.29,1981.3
604.36,2055.0
604.42,2074.1
604.49,2046.3
604.55,2224.8
604.62,2206.9
604.69,2202.2
604.75,2365.2
604.82,2459.2
604.88,2438.1
604.95,2336.9
605.01,2407.7
605.08,2364.4
605.15,2315.6
605.21,2298.2
605.28,2181.5
605.34,2317.8
605.41,2257.1
605.48,2091.2
605.54,2055.7
605.61,2181.6
605.67,2247.6
605.74,2085.3
605.80,2094.4
605.87,2168.5
605.94,2194.9
606.00,2130.1
606.07,2136.1
606.13,2173.9
606.20,2118.3
606.26,2164.0
606.33,2198.1
606.40,2302.9
606.46,2484.4
606.53,2537.8
606.59,2630.2
606.66,2868.3
606.72,3066.3
606.79,3188.4
606.86,3421.4
606.92,3659.7
606.99,3755.0
607.05,3793.0
607.12,3875.1
607.18,4017.8
607.25,4063.0
607.32,3979.0
607.38,3922.4
607.45,3913.8
607.51,3771.4
607.58,3530.0
607.64,3407.6
607.71,3299.3
607.77,3162.5
607.84,2968.2
607.91,2748.9
607.97,2625.1
608.04,2532.7
608.10,2295.0
608.17,2186.6
608.23,2208.2
608.30,2159.6
608.37,2067.9
608.43,2089.1
608.50,2200.3
608.56,2208.0
608.63,2425.1
608.69,2685.2
608.76,3030.9
608.82,3361.5
608.89,3551.7
608.95,3863.0
609.02,4207.7
609.09,4486.5
609.15,4634.5
609.22,4922.8
609.28,5171.2
609.35,5198.5
609.41,5208.6
609.48,5145.2
609.54,5140.5
609.61,5066.6
609.67,4954.6
609.74,4695.7
609.81,4499.5
609.87,4286.6
609.94,3886.0
610.00,3625.1
610.07,3290.4
610.13,3052.7
610.20,2752.3
610.26,2575.1
610.33,2452.3
610.39,2241.3
610.46,2159.8
610.52,2163.8
610.59,2286.6
610.66,2254.5
610.72,2210.6
610.79,2247.9
610.85,2250.2
610.92,2233.5
610.98,2124.5
611.05,2075.6
611.11,2124.2
611.18,2163.3
611.24,2037.2
611.31,1942.1
611.37,2145.8
611.44,2220.5
611.50,2184.3
611.57,2204.5
611.63,2288.4
611.70,2283.7
611.77,2227.2
611.83,2335.1
611.90,2430.3
611.96,2536.1
612.03,2446.4
612.09,2361.9
612.16,2373.6
612.22,2359.2
612.29,2305.4
612.35,2274.9
612.42,2371.3
612.48,2348.0
612.55,2277.0
612.61,2193.1
612.68,2229.8
612.74,2246.8
612.81,2120.3
612.87,2111.3
612.94,2173.1
613.00,2187.7
613.07,2178.0
613.13,2231.4
613.20,2324.3
613.26,2462.6
613.33,2775.1
613.39,3255.7
613.46,3731.2
613.52,4278.3
613.59,4750.6
613.65,5237.5
613.72,5758.1
613.78,6129.6
613.85,6591.3
613.91,7003.1
613.98,7350.2
614.05,7383.1
614.11,7281.1
614.18,7306.8
614.24,7238.3
614.31,7079.7
614.37,6695.5
614.44,6259.5
614.50,5947.7
614.57,5388.0
614.63,4836.4
614.70,4393.5
614.76,3963.5
614.82,3688.7
614.89,3216.4
614.95,2802.0
615.02,2523.3
615.08,2377.4
615.15,2466.0
615.21,2382.8
615.28,2474.4
615.34,2508.4
615.41,2517.1
615.47,2668.8
615.54,2674.0
615.60,2786.9
615.67,2770.6
615.73,3000.8
615.80,3134.8
615.86,3142.8
615.93,3188.1
615.99,3225.5
616.06,3392.2
616.12,3403.0
616.19,3384.7
616.25,3306.4
616.32,3401.1
616.38,3315.9
616.45,3216.6
616.51,3146.4
616.58,3026.0
616.64,2975.9
616.71,2800.3
616.77,2753.0
616.84,2693.6
