tau,tk_1,tk_2,t0_1,t0_2
1111.85,27.2,27.2,20.4,20.4
1113.86,27.3,27.2,20.4,20.4
1115.86,27.3,27.2,20.4,20.4
1117.86,27.3,27.3,20.4,20.4
1119.87,27.3,27.3,20.4,20.4
1121.87,27.4,27.3,20.4,20.4
1123.88,27.4,27.3,20.4,20.4
1125.88,27.4,27.4,20.4,20.4
1127.89,27.4,27.4,20.4,20.4
1129.89,27.5,27.4,20.4,20.4
1131.9,27.5,27.4,20.3,20.4
1133.9,27.5,27.5,20.3,20.4
1135.91,27.5,27.5,20.3,20.4
1137.91,27.5,27.5,20.3,20.3
1139.91,27.6,27.5,20.3,20.3
1141.92,27.6,27.5,20.3,20.3
1143.92,27.6,27.6,20.3,20.3
1145.93,27.6,27.6,20.3,20.3
1147.93,27.7,27.6,20.3,20.3
1149.94,27.7,27.6,20.3,20.3
1151.94,27.7,27.7,20.3,20.3
1153.95,27.7,27.7,20.3,20.3
1155.96,27.8,27.7,20.3,20.3
1157.96,27.8,27.7,20.3,20.3
1159.97,27.8,27.8,20.3,20.3
1161.97,27.8,27.8,20.3,20.3
1163.97,27.9,27.8,20.3,20.3
1165.98,27.9,27.8,20.3,20.3
1167.98,27.9,27.8,20.3,20.3
1169.99,27.9,27.9,20.3,20.3
1171.99,27.9,27.9,20.3,20.3
1174,28,27.9,20.3,20.3
1176,28,27.9,20.3,20.3
1178,28,28,20.3,20.3
1180.01,28,28,20.3,20.3
1182.01,28.1,28,20.3,20.3
1184.02,28.1,28,20.3,20.3
1186.02,28.1,28.1,20.3,20.3
1188.03,28.1,28.1,20.3,20.3
1190.03,28.2,28.1,20.3,20.3
1192.03,28.2,28.1,20.3,20.3
1194.04,28.2,28.2,20.3,20.3
1196.04,28.2,28.2,20.3,20.3
1198.05,28.2,28.2,20.3,20.3
1200.06,28.3,28.2,20.3,20.3
1202.06,28.3,28.2,20.3,20.3
1204.06,28.3,28.3,20.3,20.3
1206.07,28.3,28.3,20.3,20.3
1208.07,28.4,28.3,20.3,20.3
1210.07,28.4,28.3,20.3,20.3
1212.08,28.4,28.4,20.3,20.3
1214.09,28.4,28.4,20.3,20.3
1216.09,28.5,28.4,20.3,20.3
1218.09,28.5,28.4,20.3,20.3
1220.1,28.5,28.5,20.3,20.3
1222.1,28.5,28.5,20.3,20.3
1224.11,28.5,28.5,20.3,20.3
1226.11,28.6,28.5,20.3,20.3
1228.12,28.6,28.5,20.3,20.4
1230.12,28.6,28.6,20.3,20.4
1232.13,28.6,28.6,20.3,20.4
1234.13,28.7,28.6,20.3,20.4
1236.14,28.7,28.6,20.3,20.4
1238.14,28.7,28.7,20.3,20.4
1240.15,28.7,28.7,20.3,20.4
1242.15,28.8,28.7,20.3,20.4
1244.16,28.8,28.7,20.3,20.4
1246.16,28.8,28.8,20.3,20.4
1248.17,28.8,28.8,20.3,20.4
1250.17,28.8,28.8,20.3,20.4
1252.18,28.9,28.8,20.3,20.4
1254.18,28.9,28.8,20.3,20.4
1256.19,28.9,28.9,20.3,20.4
1258.19,28.9,28.9,20.3,20.4
1260.2,29,28.9,20.3,20.4
1262.2,29,28.9,20.3,20.4
1264.21,29,29,20.3,20.4
1266.21,29,29,20.3,20.4
1268.22,29.1,29,20.3,20.4
1270.22,29.1,29,20.4,20.4
1272.23,29.1,29,20.4,20.4
1274.23,29.1,29.1,20.4,20.4
1276.24,29.1,29.1,20.4,20.4
1278.24,29.2,29.1,20.4,20.4
1280.25,29.2,29.1,20.4,20.4
1282.25,29.2,29.2,20.3,20.4
1284.26,29.2,29.2,20.3,20.4
1286.26,29.3,29.2,20.3,20.4
1288.27,29.3,29.2,20.3,20.4
1290.27,29.3,29.3,20.3,20.4
1292.28,29.3,29.3,20.4,20.4
1294.28,29.3,29.3,20.3,20.4
1296.29,29.4,29.3,20.3,20.4
1298.29,29.4,29.3,20.3,20.4
1300.3,29.4,29.4,20.3,20.3
1302.3,29.4,29.4,20.3,20.3
1304.31,29.5,29.4,20.3,20.3
1306.31,29.5,29.4,20.3,20.3
1308.32,29.5,29.5,20.3,20.3
1310.33,29.5,29.5,20.3,20.3
1312.33,29.6,29.5,20.3,20.3
1314.34,29.6,29.5,20.3,20.3
1316.34,29.6,29.5,20.3,20.3
1318.35,29.6,29.6,20.3,20.3
1320.35,29.6,29.6,20.3,20.3
1322.36,29.7,29.6,20.3,20.3
1324.36,29.7,29.6,20.3,20.3
1326.37,29.7,29.7,20.3,20.3
1328.37,29.7,29.7,20.3,20.3
1330.38,29.8,29.7,20.3,20.3
1332.38,29.8,29.7,20.3,20.3
1334.38,29.8,29.8,20.3,20.3
