lambda,T
1012.0000610,50.0420113
1014.0000610,50.1480865
1016.0000610,50.2348328
1018.0000610,50.3702431
1020.0000610,50.4556541
1022.0000610,50.5278702
1024.0000000,50.6123543
1026.0000000,50.6700058
1028.0000000,50.7158928
1030.0000000,50.8043137
1032.0000000,50.8994217
1034.0000000,50.9752197
1036.0000000,51.0873871
1038.0000000,51.1854134
1040.0000000,51.2849541
1042.0000000,51.4347954
1044.0000000,51.6154938
1046.0000000,51.7899666
1048.0000000,51.9417496
1050.0000000,52.0402794
1052.0000000,52.1450882
1054.0000000,52.2633247
1056.0000000,52.3788452
1058.0000000,52.4975014
1060.0000000,52.6128082
1062.0000000,52.7328606
1064.0000000,52.8351860
1066.0000000,52.9164200
1068.0000000,53.0084038
1070.0000000,53.1024971
1072.0000000,53.1942177
1074.0000000,53.3096390
1076.0000000,53.3899803
1078.0000000,53.4714355
1080.0000000,53.5379257
