U_G I_D U_D
3.000000000000002 0.21015109799999998 10.0
3.0200000000000022 0.256116206 10.0
3.0400000000000023 0.310342615 10.0
3.0600000000000023 0.380769974 10.0
3.0800000000000023 0.45980017300000003 10.0
3.1000000000000023 0.5540919639999999 10.0
3.1200000000000023 0.666090177 10.0
3.1400000000000023 0.8059583100000001 10.0
3.1600000000000024 0.963195139 10.0
3.1800000000000024 1.1819351200000001 10.0
3.2000000000000024 1.41976783 10.0
3.2200000000000024 1.67937597 10.0
3.2400000000000024 1.9714446099999998 10.0
3.2600000000000025 2.3227346 10.0
3.2800000000000025 2.73616527 10.0
3.3000000000000025 3.1979161400000002 10.0
3.3200000000000025 3.70570283 10.0
3.3400000000000025 4.303377080000001 10.0
3.3600000000000025 4.99314896 10.0
3.3800000000000026 5.75792768 10.0
3.4000000000000026 6.58122201 10.0
3.4200000000000026 7.59703452 10.0
3.4400000000000026 8.63271999 10.0
3.4600000000000026 9.80375523 10.0
3.4800000000000026 11.077375400000001 10.0
3.5000000000000027 12.594037400000001 10.0
3.5200000000000027 14.1473938 10.0
3.5400000000000027 15.861287799999998 10.0
3.5600000000000027 17.8463321 10.0
3.5800000000000027 19.881984 10.0
3.6000000000000028 22.1142134 10.0
3.6200000000000028 24.5067632 10.0
3.640000000000003 27.2844483 10.0
3.660000000000003 30.0532881 10.0
3.680000000000003 33.1049868 10.0
3.700000000000003 36.324053600000006 10.0
3.720000000000003 40.049743899999996 10.0
3.740000000000003 43.7280091 10.0
3.760000000000003 47.7422939 10.0
3.780000000000003 52.1902978 10.0
3.800000000000003 56.743019399999994 10.0
3.820000000000003 61.5043231 10.0
3.840000000000003 66.5555246 10.0
3.860000000000003 72.27444419999999 10.0
3.880000000000003 77.902259 10.0
3.900000000000003 83.9870219 10.0
3.920000000000003 90.56219660000001 10.0
3.940000000000003 97.3973181 10.0
3.960000000000003 103.27380099999999 10.0
